Abscissa X0vera X1vera X2vera
0 0.705265172423607 -0.272703239425499 -4.59867562727817
0.01 0.702307473234696 -0.318845892728717 -4.60364706972132
0.02 0.698890875618577 -0.364189427036752 -4.43244733039881
0.03 0.695032838686186 -0.406772395643216 -4.04434846230876
0.04 0.690772552715538 -0.444201785499151 -3.3936941088987
0.05 0.68617550614859 -0.473602497291323 -2.42975327512789
0.06 0.681338553434795 -0.49156902690264 -1.09737485179312
0.07 0.676395414296618 -0.494129625174578 0.661080190811391
0.08 0.671522406099203 -0.476738660145996 2.90191937751402
0.09 0.666943957442753 -0.434391561093704 5.61041132380308
0.1 0.662921906641304 -0.366181508679663 7.91280330274132
0.11 0.659685242138485 -0.278492371805644 9.50857180042932
0.12 0.657393722567655 -0.178293821056316 10.4199042636489
0.13 0.656138832164267 -0.0722375042302861 10.6890411248173
0.14 0.655948025413714 0.0335599875064664 10.3807744132172
0.15 0.656791189652136 0.133736270472627 9.58051335072098
0.16 0.65858914168359 0.223865303549419 8.38904645330753
0.17 0.661223647511844 0.3005769158387 6.91552835587853
0.18 0.664548277185434 0.361603985181043 5.27027178798137
0.19 0.668399384855067 0.405762154177379 3.55864230947554
0.2 0.672606610263777 0.432877600203821 1.87686365905225
0.21 0.6770024844779 0.443683773433805 0.31001163587183
0.22 0.681430937855134 0.439708496963055 -1.06796222703959
0.23 0.685754708894827 0.423169688859606 -2.19264873669573
0.24 0.689861662121367 0.396827058650283 -3.02970060925461
0.25 0.693667779093849 0.363429378001585 -3.61053527077508
0.26 0.697114646588696 0.325338177861113 -3.97469984916082
0.27 0.700165548751823 0.284537443028875 -4.15812551078016
0.28 0.702801873515339 0.242669906927271 -4.19317223501111
0.29 0.70501987339942 0.201071083420922 -4.10900497432158
0.3 0.70682774440368 0.160798567411949 -3.93214196175479
0.31 0.708242969049098 0.122655458026946 -3.68706743044367
0.32 0.709289862880907 0.0872076383965963 -3.39683829842662
0.33 0.709997264130403 0.05479521214298 -3.08364046074029
0.34 0.710396311121846 0.0255387437445078 -2.76926860521118
0.35 0.710518259546562 -0.000658859587209932 -2.47551605360739
0.36 0.710392333926967 -0.0240981288629861 -2.2185054540134
0.37 0.710044281266714 -0.0451395866101502 -1.99469215436308
0.38 0.709496544630973 -0.0640778889519386 -1.79666175415233
0.39 0.708768986830424 -0.0811348250095024 -1.61723689223193
0.4 0.707879608974535 -0.0964611764987815 -1.44937890062493
0.41 0.70684525498644 -0.110137699741241 -1.28610984782366
0.42 0.705682309906386 -0.122175413596429 -1.1204512049009
0.43 0.704407398133685 -0.132515348161782 -0.94537714076702
0.44 0.7030380862803 -0.141027898218199 -0.753784644714185
0.45 0.7015935793561 -0.147518438678715 -0.540804378832751
0.46 0.700095155672938 -0.151778522415185 -0.308190010318743
0.47 0.698566051170712 -0.153626976579797 -0.059003236258049
0.48 0.697031157462645 -0.15291415238716 0.203506551032693
0.49 0.695516696615632 -0.149523976885563 0.475868721126501
0.5 0.694049873886759 -0.143376293956433 0.754367457368369
0.51 0.692658506038466 -0.134429388146568 1.03502946983202
0.52 0.69137062401919 -0.122682565196272 1.31362522768946
0.53 0.690214050145248 -0.108178646229832 1.58568520313265
0.54 0.68921595141628 -0.0910062202408263 1.84653206970169
0.55 0.688402372185853 -0.0713014936219121 2.09132905722504
0.56 0.687797751016806 -0.0492495779230721 2.31514374711826
0.57 0.687424428086123 -0.0250850693783218 2.51302553464443
0.58 0.687302150861348 0.000908202901210665 2.68009385460134
0.59 0.687447586837601 0.0283983485099076 2.81163315316241
0.6 0.687873852790525 0.0570075502691013 2.90318959696711
0.61 0.688590070167865 0.0863151507269284 2.95066375126044
0.62 0.68960095583571 0.115861619545153 2.95039303151042
0.63 0.690906456372531 0.145153268253963 2.89921770998866
0.64 0.692501432463128 0.17366751836838 2.79452467068743
0.65 0.694375397726308 0.200858474596252 2.63426393036632
0.66 0.696512313596447 0.226162510605718 2.41693410168696
0.67 0.698890438784715 0.249003543281705 2.14153433532136
0.68 0.701482228668077 0.268797851705105 1.8076741528506
0.69 0.704254352342708 0.284983994093953 1.42220714673874
0.7 0.707168395236623 0.297121355321532 1.00052367722797
0.71 0.710182315997506 0.304924616746945 0.557854619378581
0.72 0.713251967181142 0.308256376551621 0.108530956451708
0.73 0.716332527614925 0.307117641780514 -0.334104443635595
0.74 0.719379836617762 0.301637840816113 -0.757705215851662
0.75 0.722351629178714 0.29206512421982 -1.15085701632907
0.76 0.725208678447809 0.278757629042726 -1.50295145211151
0.77 0.727915858029998 0.26217625464153 -1.80401284172789
0.78 0.730443124343586 0.242871349141766 -2.04750327324679
0.79 0.732766090246691 0.221406178420066 -2.23698344116883
0.8 0.734865763568832 0.198294009566953 -2.37775045218737
0.81 0.736728027036079 0.173997269547982 -2.47467299393397
0.82 0.738343151415335 0.148931857324039 -2.53218940517669
0.83 0.739705351539229 0.123471376908618 -2.5543243390598
0.84 0.740812383592873 0.097951135271723 -2.54471829660014
